SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ABLBL","91.45","92.49","90.02","91.48","90.50","-","-0.98","-1.07","602100","5.48","151.33","87.91","-5.29","-32.72"
"DOMS","2,231.80","2,247.00","2,219.30","2,231.80","2,238.10","-","6.3","0.28","24235","5.42","2,770.00","2,023.90","-5.81","-7.58"
"TEGA","1,656.50","1,662.90","1,621.00","1,647.10","1,634.00","-","-13.1","-0.8","31706","5.17","2,125.00","1,473.00","-2.1","-9.74"
"TRAVELFOOD","1,399.00","1,404.40","1,379.40","1,389.00","1,389.20","-","0.2","0.01","35161","4.90","1,470.90","1,035.30","6.01","20.13"
"INDIACEM","385.00","390.00","383.35","383.80","383.50","-","-0.3","-0.08","124919","4.83","485.80","342.35","0.79","3.99"
"TRIDENT","24.83","24.91","24.61","24.83","24.70","-","-0.13","-0.52","1954051","4.83","30.94","21.98","-3.1","-11.47"
"DCMSHRIRAM","1,010.00","1,013.00","991.00","1,007.00","992.00","-","-15","-1.49","47991","4.81","1,414.40","945.10","-5.96","-26.17"
"NIVABUPA","85.01","85.63","83.50","85.47","83.50","-","-1.97","-2.3","552981","4.67","91.40","67.50","-3.48","3.3"
"FACT","825.20","833.90","816.00","828.40","816.00","-","-12.4","-1.5","52303","4.31","1,058.60","652.10","-4.62","-13.88"
"EIHOTEL","300.35","302.50","297.70","302.35","298.05","-","-4.3","-1.42","142176","4.25","434.80","271.15","-9.61","-18.23"
"TTML","38.75","38.81","38.00","38.81","38.13","-","-0.68","-1.75","1103045","4.23","60.89","31.22","-7.63","-35.53"
"BLUEDART","5,116.00","5,145.50","5,067.00","5,092.50","5,100.00","-","7.5","0.15","8071","4.12","7,036.00","4,628.50","3.69","-14.11"
"BBTC","1,484.30","1,501.10","1,484.30","1,490.40","1,485.00","-","-5.4","-0.36","17917","2.68","2,135.00","1,314.60","-2.39","-20.46"
"GALLANTT","601.90","601.90","588.30","593.50","590.85","-","-2.65","-0.45","36891","2.18","948.00","496.25","-11.5","-16.78"
