SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ENTERO","1,425.10","1,459.80","1,406.40","1,427.20","1,425.00","-","-2.2","-0.15","234703","33.61","1,459.80","944.00","17.68","20.57"
"GRWRHITECH","7,040.50","7,198.50","7,000.00","7,020.50","7,120.50","-","100","1.42","46023","32.77","7,990.00","2,681.00","2.19","149.24"
"MOIL","280.00","288.95","278.15","279.45","279.90","-","0.45","0.16","1135494","32.18","404.90","242.35","2.15","-13.89"
"DYNAMATECH","10,536.00","10,828.00","10,467.00","10,600.00","10,652.00","-","52","0.49","29877","32.01","12,875.00","6,320.00","-0.34","60.28"
"RATEGAIN","912.00","935.00","909.30","908.85","934.25","-","25.4","2.79","342776","31.77","1,050.00","437.00","-1.11","90.18"
"ASHAPURMIN","646.50","660.00","634.55","651.95","635.05","-","-16.9","-2.59","482223","31.04","924.90","455.10","-1.75","17.01"
"SUDEEPPHRM","1,112.00","1,146.30","1,078.10","1,108.40","1,108.00","-","-0.4","-0.04","275504","30.77","1,158.60","524.05","34.43","0"
"SOUTHBANK","45.81","46.56","45.60","45.81","46.26","-","0.45","0.98","6627720","30.63","49.90","28.11","0.98","54.92"
"CAPILLARY","524.00","534.70","516.50","522.95","531.20","-","8.25","1.58","558490","29.35","798.95","464.25","5.63","0"
"NEOGEN","2,099.70","2,099.70","2,016.20","2,092.70","2,080.00","-","-12.7","-0.61","139950","28.75","2,374.00","966.70","-0.24","43.69"
"RALLIS","212.00","212.10","207.53","211.50","209.14","-","-2.36","-1.12","1372270","28.70","385.80","207.53","-8.7","-43.59"
"AKUMS","760.95","775.00","746.35","760.95","750.00","-","-10.95","-1.44","359719","27.32","775.00","409.30","6.85","55.91"
"RELIGARE","227.35","240.50","226.20","227.35","240.05","-","12.7","5.59","1145480","26.75","280.00","196.51","-11.24","-4.29"
"JSFB","528.00","555.05","519.00","526.60","548.75","-","22.15","4.21","500850","26.72","593.00","330.00","15.75","19.2"
"LOTUSDEV","160.01","176.10","159.75","167.72","174.00","-","6.28","3.74","1556874","26.19","218.49","102.20","19.65","-11.5"
"JAMNAAUTO","125.40","127.62","123.30","125.51","123.90","-","-1.61","-1.28","2078458","26.00","152.60","88.42","-9.27","36.2"
"CCAVENUE","16.50","16.60","15.85","16.42","16.10","-","-0.32","-1.95","15830282","25.38","20.50","12.92","-11.05","7.12"
"LLOYDSENT","80.00","80.00","77.00","80.48","78.03","-","-2.45","-3.04","3241276","25.36","84.70","40.69","-0.19","12.03"
"PGIL","2,425.10","2,484.60","2,400.10","2,434.90","2,482.00","-","47.1","1.93","103039","25.29","2,539.60","1,178.10","24.22","98.15"
"GNFC","549.85","556.40","548.90","548.40","550.00","-","1.6","0.29","449732","24.81","616.00","365.00","9.46","9.32"
"MANYAVAR","526.90","526.90","511.00","522.00","518.60","-","-3.4","-0.65","468600","24.34","796.55","329.20","32.25","-29.81"
"EMBDL","65.00","65.10","61.45","64.72","62.00","-","-2.72","-4.2","3861184","24.19","105.70","39.46","-6.4","-33.76"
"INDIASHLTR","642.60","688.20","642.60","646.85","679.00","-","32.15","4.97","352904","23.85","968.75","640.00","-15.13","-26.44"
"NAZARA","354.55","358.00","350.00","355.40","353.00","-","-2.4","-0.68","674988","23.85","363.25","215.70","16","-0.61"
