SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"YESBANK","22.75","22.98","22.62","22.75","22.98","-","0.23","1.01","68269921","155.79","25.78","17.20","-4.01","22.76"
"GMDCLTD","602.90","617.15","600.50","603.00","602.45","-","-0.55","-0.09","2552352","155.60","771.90","399.20","2.15","45.87"
"CGPOWER","881.00","888.00","872.00","881.00","888.00","-","7","0.79","1744914","153.76","980.90","525.50","-3.12","34.84"
"MTARTECH","6,748.00","7,199.00","6,733.00","6,893.00","7,160.00","-","267","3.87","217622","152.04","8,714.00","1,390.50","0.83","389"
"SONACOMS","801.05","807.70","797.40","800.00","804.50","-","4.5","0.56","1894549","151.98","836.90","402.30","20.34","82.74"
"LTM","4,850.00","4,850.00","4,691.00","4,850.00","4,762.10","-","-87.9","-1.81","318929","151.25","6,429.50","3,528.00","17.96","-6.75"
"PCJEWELLER","9.99","10.00","9.70","9.97","9.80","-","-0.17","-1.71","153619636","150.55","15.38","7.47","-1.9","-26.92"
"JUBLFOOD","487.00","489.00","477.25","488.20","484.70","-","-3.5","-0.72","3122764","150.41","670.45","408.55","10.65","-23.41"
"MARICO","855.00","857.05","839.05","855.00","855.00","-","0","0","1770553","149.74","889.10","690.30","0.29","21.43"
"LTF","315.00","317.20","309.75","315.40","317.20","-","1.8","0.57","4688109","146.62","338.60","194.40","-1.26","60.38"
"WAAREEENER","2,704.00","2,709.10","2,650.90","2,704.00","2,668.00","-","-36","-1.33","542431","144.65","3,865.00","2,403.00","-8.72","-13.51"
"BRITANNIA","5,598.00","5,645.50","5,560.00","5,598.00","5,645.50","-","47.5","0.85","257865","144.37","6,336.00","5,035.00","5.46","5.76"
"PATANJALI","352.95","353.60","342.15","353.00","352.60","-","-0.4","-0.11","4146144","143.49","615.00","328.20","-14.79","-41.86"
"APLAPOLLO","2,016.90","2,018.80","1,991.30","2,012.70","1,997.10","-","-15.6","-0.78","714770","143.28","2,301.40","1,565.50","8.78","26.22"
"IOC","140.63","142.05","139.29","140.00","140.60","-","0.6","0.43","10106894","142.04","188.96","130.22","1.18","-1.44"
"IDFCFIRSTB","83.61","85.80","83.61","84.27","85.80","-","1.53","1.82","16618607","141.36","88.76","58.08","6.15","24.24"
"LODHA","1,215.00","1,217.60","1,185.00","1,212.00","1,209.00","-","-3","-0.25","1174178","141.19","1,344.95","650.80","-0.96","-0.43"
"AFCONS","265.00","279.30","264.40","263.65","267.95","-","4.3","1.63","5079574","138.43","479.40","259.10","-10.95","-36.57"
